County,total_population,voters,non_voters,voter_rate
Adams County,3,3,0,1.0
Benton County,563,217,346,0.38543516873889877
Chelan County,55,31,24,0.5636363636363636
Clallam County,37,8,29,0.21621621621621623
Clark County,1260,626,634,0.49682539682539684
Columbia County,1,0,1,0.0
Cowlitz County,68,35,33,0.5147058823529411
Douglas County,20,10,10,0.5
Ferry County,2,2,0,1.0
Franklin County,61,28,33,0.45901639344262296
Garfield County,1,1,0,1.0
Grant County,46,23,23,0.5
Grays Harbor County,22,8,14,0.36363636363636365
Island County,53,32,21,0.6037735849056604
Jefferson County,18,16,2,0.8888888888888888
King County,25581,11976,13605,0.4681599624721473
Kitsap County,213,114,99,0.5352112676056338
Kittitas County,37,21,16,0.5675675675675675
Klickitat County,5,2,3,0.4
Lewis County,28,15,13,0.5357142857142857
Lincoln County,2,1,1,0.5
Mason County,27,10,17,0.37037037037037035
Okanogan County,14,9,5,0.6428571428571429
Pacific County,5,1,4,0.2
Pend Oreille County,1,1,0,1.0
Pierce County,2005,901,1104,0.4493765586034913
San Juan County,10,7,3,0.7
Skagit County,78,37,41,0.47435897435897434
Skamania County,7,5,2,0.7142857142857143
Snohomish County,6060,3134,2926,0.5171617161716172
Spokane County,967,396,571,0.4095139607032058
Stevens County,12,8,4,0.6666666666666666
Thurston County,597,279,318,0.46733668341708545
Wahkiakum County,1,1,0,1.0
Walla Walla County,37,14,23,0.3783783783783784
Whatcom County,430,251,179,0.5837209302325581
Whitman County,96,41,55,0.4270833333333333
Yakima County,209,75,134,0.3588516746411483
