School District,total_population,voters,non_voters,voter_rate
Aberdeen School District,10,2,8,0.2
Adna School District,1,0,1,0.0
Anacortes School District,23,11,12,0.4782608695652174
Arlington School District,39,20,19,0.5128205128205128
Auburn School District,793,301,492,0.37957124842370743
Bainbridge Island School District,32,26,6,0.8125
Battle Ground School District,98,55,43,0.5612244897959183
Bellevue School District,1753,999,754,0.5698802053622362
Bellingham School District,264,154,110,0.5833333333333334
Bethel School District,189,88,101,0.4656084656084656
Blaine School District,64,31,33,0.484375
Bremerton School District,52,20,32,0.38461538461538464
Brewster School District,1,0,1,0.0
Burlington-Edison School District,11,6,5,0.5454545454545454
Camas School District,175,102,73,0.5828571428571429
Cascade School District,7,6,1,0.8571428571428571
Cashmere School District,4,1,3,0.25
Castle Rock School District,7,4,3,0.5714285714285714
Central Kitsap School District,41,18,23,0.43902439024390244
Central Valley School District,134,57,77,0.4253731343283582
Centralia School District,10,5,5,0.5
Chehalis School District,10,6,4,0.6
Cheney School District,54,21,33,0.3888888888888889
Chimacum School District,9,7,2,0.7777777777777778
Cle Elum-Roslyn School District,2,1,1,0.5
Clover Park School District,123,34,89,0.2764227642276423
Colfax School District,1,1,0,1.0
College Place School District,9,3,6,0.3333333333333333
Columbia (Walla Walla) School District,2,1,1,0.5
Colville School District,2,1,1,0.5
Conway School District,2,0,2,0.0
Cosmopolis School District,2,0,2,0.0
Coupeville School District,7,5,2,0.7142857142857143
Crescent School District,1,0,1,0.0
Damman School District,1,0,1,0.0
Davenport School District,1,0,1,0.0
Dayton School District,1,0,1,0.0
Deer Park School District,8,4,4,0.5
Dieringer School District,22,11,11,0.5
East Valley School District (Spokane),18,9,9,0.5
East Valley School District (Yakima),13,5,8,0.38461538461538464
Eastmont School District,18,10,8,0.5555555555555556
Easton School District,4,2,2,0.5
Eatonville School District,8,3,5,0.375
Edmonds School District,2020,1030,990,0.5099009900990099
Ellensburg School District,23,11,12,0.4782608695652174
Elma School District,2,2,0,1.0
Enumclaw School District,28,12,16,0.42857142857142855
Ephrata School District,4,2,2,0.5
Evaline School District,1,0,1,0.0
Everett School District,1237,637,600,0.5149555375909458
Evergreen School District (Clark),470,222,248,0.4723404255319149
Federal Way School District,1412,557,855,0.3944759206798867
Ferndale School District,54,35,19,0.6481481481481481
Fife Public Schools,88,49,39,0.5568181818181818
Franklin Pierce School District,76,23,53,0.3026315789473684
Goldendale School District,1,1,0,1.0
Grand Coulee Dam School District,4,1,3,0.25
Grandview School District,3,2,1,0.6666666666666666
Granger School District,1,0,1,0.0
Granite Falls School District,23,16,7,0.6956521739130435
Grapeview School District,1,0,1,0.0
Great Northern School District,1,1,0,1.0
Griffin School District,11,9,2,0.8181818181818182
Highline School District,2614,851,1763,0.3255547054322877
