Election ,JURISDICTION,City/District #,Position_Type,Number_of_Muslims,Impact,Vote_Difference,Name_1,Votes_1,Name_2,Votes_2
General_2023,City Council,ABERDEEN,Pos. 1,11,< 25%,255,Melvin Taylor,263,Write-In,8
General_2023,City Council,ABERDEEN,Pos. 12,11,< 25%,50,Sydney Newbill,235,Bessie Jones,185
General_2023,City Council,ABERDEEN,Pos. 3,11,< 25%,218,David Gakin,228,Write-In,10
General_2023,City Council,ABERDEEN,Pos. 7,11,< 25%,275,Stan Sidor,530,Glenn Meissner,255
General_2023,City Council,ABERDEEN,Pos. 8,11,< 25%,486,Deb Hodgkin,505,Write-In,19
General_2023,City Council,ABERDEEN,Pos. 6,11,> 50%,9,Scott Prato,239,Norman Klein,230
General_2023,City Council,ABERDEEN,Pos. 9,11,25-50%,32,Riley Carter,119,Joshua Francy,87
General_2023,City Council,AIRWAY HEIGHTS,Pos. 1,15,< 25%,658,Hank Bynaker,678,Write-In,20
General_2023,City Council,AIRWAY HEIGHTS,Pos. 2,15,< 25%,629,Kevin J Richey,654,Write-In,25
General_2023,City Council,AIRWAY HEIGHTS,Pos. 3,15,< 25%,628,Veronica Messing,651,Write-In,23
General_2023,City Council,AIRWAY HEIGHTS,Pos. 5,15,< 25%,627,Larry Bowman,651,Write-In,24
General_2023,City Council,AIRWAY HEIGHTS,Pos. 7,15,< 25%,629,Jennifer Morton,652,Write-In,23
General_2023,City Council,ALBION,Pos. 1,0,< 25%,99,Megan Welling,107,Write-In,8
General_2023,City Council,ALBION,Pos. 2,0,< 25%,101,Corina Andersen,109,Write-In,8
General_2023,City Council,ALBION,Pos. 5,0,< 25%,87,Katherine Opie,103,Write-In,16
General_2023,City Council,ALGONA,Pos. 1,10,< 25%,329,William Thomas,339,Write-In,10
General_2023,City Council,ALGONA,Pos. 3,10,< 25%,324,Timothy J. Fairley,334,Write-In,10
General_2023,City Council,ALGONA,Pos. 5,10,< 25%,337,David M. White,347,Write-In,10
General_2023,City Council,ALMIRA,Pos. 1,0,< 25%,67,James Braun,71,Write-In,4
General_2023,City Council,ALMIRA,Pos. 2,0,< 25%,52,Einar Larson,61,Write-In,9
General_2023,City Council,ANACORTES,Ward 1,23,< 25%,1392,Ryan Walters,1443,Write-In,51
General_2023,City Council,ANACORTES,Ward 2,23,< 25%,1452,Christine Cleland-McGrath,1484,Write-In,32
General_2023,City Council,ANACORTES,Ward 3,23,< 25%,589,TJ Fantini,1802,Linda Martin,1213
General_2023,City Council,ARLINGTON,Pos. 4,52,< 25%,2146,Michele Blythe,3298,Kenneth Dilbeck,1152
General_2023,City Council,ARLINGTON,Pos. 5,52,< 25%,3226,Rob Toyer,3353,Write-In,127
General_2023,City Council,ARLINGTON,Pos. 6,52,< 25%,1638,Yvonne M. Gallardo-Van Ornam,3036,Gregory Miller,1398
General_2023,City Council,ASOTIN,Pos. 1,0,< 25%,279,David Weakland,280,Write-In,1
General_2023,City Council,ASOTIN,Pos. 2,0,< 25%,281,Lori R. Loseth,285,Write-In,4
General_2023,City Council,ASOTIN,Pos. 4,0,< 25%,271,Craig J. Stein,273,Write-In,2
General_2023,City Council,AUBURN,Pos. 1,999,> 50%,309,Cheryl Rakes,5349,Lisa Stirgus,5040
General_2023,City Council,AUBURN,Pos. 3,999,> 50%,1781,Tracy Taylor Turner,6161,James Jeyaraj,4380
General_2023,City Council,AUBURN,Pos. 5,999,> 50%,1029,Clinton Taylor,5752,Robyn Mulenga,4723
General_2023,City Council,AUBURN,Pos. 7,999,> 50%,75,Hanan Amer,5275,Brian Lott,5200
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 1,33,< 25%,3432,Kirsten Hytopoulos,6796,Dick Haugan,3364
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 2,33,< 25%,6870,Brenda Fantroy-Johnson,7002,Write-In,132
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 4,33,< 25%,6738,Leslie Schneider,6850,Write-In,112
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 6,33,< 25%,6838,Ashley Mathews,6946,Write-In,108
General_2023,City Council,BATTLE GROUND,Pos. 2,22,< 25%,657,Shane A. Bowman,2200,Josh VanGelder,1543
General_2023,City Council,BATTLE GROUND,Pos. 3,22,< 25%,759,Victoria Ferrer,2268,Daniel Dingman,1509
General_2023,City Council,BATTLE GROUND,Pos. 7,22,< 25%,550,Eric Joe Overholser,2152,Josie Calderon,1602
General_2023,City Council,BEAUX ARTS,Pos. 1,3,< 25%,91,Stacy Saal,91,Write-In,0
General_2023,City Council,BEAUX ARTS,Pos. 2,3,< 25%,91,James McCarthy,91,Write-In,0
General_2023,City Council,BEAUX ARTS,Pos. 4,3,< 25%,90,Paula Dix,92,Write-In,2
General_2023,City Council,BELLEVUE,Pos. 3,1827,< 25%,17184,Mo Malakoutian,21347,Alex Tsimerman,4163
General_2023,City Council,BELLEVUE,Pos. 5,1827,< 25%,8727,Janice Zahn,17613,Betsi Hummer,8886
General_2023,City Council,BELLEVUE,Pos. 7,1827,< 25%,16451,Dave Hamilton,20921,Bil Hirt,4470
General_2023,City Council,BELLEVUE,Pos. 1,1827,> 50%,2677,John Stokes,14388,Paul Clark,11711
General_2023,City Council,BELLINGHAM,At-Large,292,< 25%,2350,Jace Cotton,16250,Russ Whidbee,13900
General_2023,City Council,BELLINGHAM,Ward 1,292,< 25%,5193,Hannah Stone,17449,Eamonn Collins,12256
General_2023,City Council,BELLINGHAM,Ward 3,292,< 25%,4180,Daniel Hammill,16775,Liz Darrow,12595
General_2023,City Council,BELLINGHAM,Ward 5,292,< 25%,21503,Lisa A. Anderson,21858,Write-In,355
General_2023,City Council,BENTON CITY,Pos. 3,3,< 25%,489,David Sandretto,505,Write-In,16
General_2023,City Council,BENTON CITY,Pos. 4,3,< 25%,489,Sarah Funk,502,Write-In,13
General_2023,City Council,BENTON CITY,Pos. 5,3,< 25%,477,Dyana M. G. Alcazar,493,Write-In,16
General_2023,City Council,BINGEN,Pos. 1,0,< 25%,72,Ryan O'Connor,74,Write-In,2
General_2023,City Council,BLACK DIAMOND,Pos. 1,26,< 25%,1101,Tamie L. Boxx-Deady,1141,Write-In,40
General_2023,City Council,BLACK DIAMOND,Pos. 2,26,< 25%,1048,Brad Douglass,1097,Write-In,49
General_2023,City Council,BLACK DIAMOND,Pos. 3,26,< 25%,1105,Therron Smith,1150,Write-In,45
General_2023,City Council,BLACK DIAMOND,Pos. 5,26,< 25%,1017,Kristiana de Leon,1081,Write-In,64
General_2023,City Council,BLACK DIAMOND,Pos. 6,26,< 25%,373,Nathan Jones,971,Pravat Sripranaratanakul,598
General_2023,City Council,BLACK DIAMOND,Pos. 7,26,< 25%,1072,Debbie Page,1109,Write-In,37
General_2023,City Council,BLAINE,Ward 1 Pos. 1,59,< 25%,1323,Richard May,1393,Write-In,70
General_2023,City Council,BLAINE,Ward 2 Pos. 3,59,< 25%,898,Sonia Hurt,1390,Steven Tojek,492
General_2023,City Council,BLAINE,Ward 3 Pos. 5,59,< 25%,1434,Mary Lou Steward,1451,Write-In,17
General_2023,City Council,BONNEY LAKE,Pos. 5,78,< 25%,1615,Angela Baldwin,2813,Jessica Bennion,1198
General_2023,City Council,BONNEY LAKE,Pos. 7,78,< 25%,1295,Dan Roach,2672,Teresa Caron,1377
General_2023,City Council,BONNEY LAKE,Pos. 2,78,25-50%,168,Kerri Hubler,2106,Brittany Rock,1938
General_2023,City Council,BONNEY LAKE,Pos. 4,78,25-50%,258,J Kelly McClimans,2156,Tom Watson,1898
General_2023,City Council,BOTHELL,Pos. 2,1263,> 50%,2509,Mason Thompson,6548,James McNeal,4039
General_2023,City Council,BOTHELL,Pos. 4,1263,> 50%,2042,Carston Curd,6353,Mark Swanson,4311
General_2023,City Council,BOTHELL,Pos. 6,1263,25-50%,2877,Amanda Dodd,6782,Thomas E. Agnew,3905
General_2023,City Council,BREMERTON,District 6,71,< 25%,312,Anna Mockler,810,Mike Simpson,498
General_2023,City Council,BREMERTON,District 4,71,> 50%,53,Jane Rebelowski,368,Marwan Cameron,315
General_2023,City Council,BREMERTON,District 2,71,25-50%,224,Denise Frey,513,Adrian Wright,289
General_2023,City Council,BREWSTER,Pos. 4,1,< 25%,119,Glenn Farrington,122,Write-In,3
General_2023,City Council,BREWSTER,Pos. 5,1,< 25%,13,Don Childers,79,Emmanuel Hurtado,66
General_2023,City Council,BRIDGEPORT,Pos. 4,0,< 25%,34,Paul Anson,102,Janet Conklin,68
General_2023,City Council,BRIDGEPORT,Pos. 5,0,< 25%,132,"Esiquio ""Zeke"" Martinez",140,Write-In,8
General_2023,City Council,BRIER,At-Large,44,< 25%,1521,Daniel Allen,1833,Kristin Bigoff,312
General_2023,City Council,BRIER,Pos. 4,44,< 25%,1254,Valerie Rosman,1752,Derek Hamilton,498
General_2023,City Council,BRIER,Pos. 5,44,< 25%,1020,David Marley,1632,Kevin Davis,612
General_2023,City Council,BRIER,Pos. 6,44,< 25%,1769,Hisham (Sham) Othman,1832,Write-In,63
General_2023,City Council,BUCKLEY,Pos. 4,6,< 25%,885,Amanda Burbank,898,Write-In,13
General_2023,City Council,BUCKLEY,Pos. 5,6,< 25%,69,Denice Bergerson,552,Lyn Rose,483
General_2023,City Council,BUCKLEY,Pos. 6,6,< 25%,58,Connie Bender,542,Maureen Sundstrom,484
General_2023,City Council,BUCKLEY,Pos. 7,6,< 25%,876,Brandon Green,890,Write-In,14
General_2023,City Council,BUCODA,Pos. 1,0,< 25%,94,Callie Carpenter,95,Write-In,1
General_2023,City Council,BUCODA,Pos. 2,0,< 25%,91,Steven Lyle,93,Write-In,2
General_2023,City Council,BUCODA,Pos. 4,0,< 25%,96,Michelle Layton,96,Write-In,0
General_2023,City Council,BUCODA,Pos. 5,0,< 25%,96,Kiersten Presley,97,Write-In,1
General_2023,City Council,BURIEN,Pos. 2,530,25-50%,1651,Linda Akey,6077,Cydney Moore,4426
General_2023,City Council,BURIEN,Pos. 4,530,25-50%,1874,Kevin J. Schilling,6249,Patricia Hudson,4375
General_2023,City Council,BURIEN,Pos. 6,530,25-50%,1230,Alex Andrade,5919,Krystal Marx,4689
General_2023,City Council,BURLINGTON,Ward 1,7,< 25%,984,Scott K. Green,1222,Anthony Perales,238
General_2023,City Council,BURLINGTON,Ward 2,7,< 25%,1038,Keith Chaplin,1054,Write-In,16
General_2023,City Council,BURLINGTON,Ward 3,7,< 25%,260,Elizabeth Turman-Bryant,870,Joseph A. Lewis,610
General_2023,City Council,CAMAS,At-Large,171,< 25%,1109,John Svilarich,4144,Stephen R. Dabasinskas,3035
General_2023,City Council,CAMAS,Ward 1 Pos. 1,171,< 25%,756,John Nohr,3973,Gary Perman,3217
General_2023,City Council,CAMAS,Ward 2 Pos. 1,171,< 25%,1712,Bonnie Carter,4457,Ry Luikens,2745
