School District,Muslim Count
Aberdeen School District,10
Adna School District,1
Anacortes School District,23
Arlington School District,39
Auburn School District,793
Bainbridge Island School District,32
Battle Ground School District,98
Bellevue School District,1753
Bellingham School District,264
Bethel School District,189
Blaine School District,64
Bremerton School District,52
Brewster School District,1
Burlington-Edison School District,11
Camas School District,175
Cascade School District,7
Cashmere School District,4
Castle Rock School District,7
Central Kitsap School District,41
Central Valley School District,134
Centralia School District,10
Chehalis School District,10
Cheney School District,54
Chimacum School District,9
Cle Elum-Roslyn School District,2
Clover Park School District,123
Colfax School District,1
College Place School District,9
Columbia (Walla Walla) School District,2
Colville School District,2
Conway School District,2
Cosmopolis School District,2
Coupeville School District,7
Crescent School District,1
Damman School District,1
Davenport School District,1
Dayton School District,1
Deer Park School District,8
Dieringer School District,22
East Valley School District (Spokane),18
East Valley School District (Yakima),13
Eastmont School District,18
Easton School District,4
Eatonville School District,8
Edmonds School District,2020
Ellensburg School District,23
Elma School District,2
Enumclaw School District,28
Ephrata School District,4
Evaline School District,1
Everett School District,1237
Evergreen School District (Clark),470
Federal Way School District,1412
Ferndale School District,54
Fife Public Schools,88
Franklin Pierce School District,76
Goldendale School District,1
Grand Coulee Dam School District,4
Grandview School District,3
Granger School District,1
Granite Falls School District,23
Grapeview School District,1
Great Northern School District,1
Griffin School District,11
Highline School District,2614
Hockinson School District,23
Hood Canal School District,6
Hoquiam School District,4
Index School District,2
Issaquah School District,1077
Kalama School District,2
Kelso School District,24
Kennewick School District,323
Kent School District,2877
Kiona-Benton City School District,3
Kittitas School District,3
La Center School District,19
La Conner School District,4
Lake Chelan School District,7
Lake Stevens School District,252
Lake Washington School District,3223
Lakewood School District,27
Liberty School District,5
Longview Public Schools,30
Loon Lake School District,1
Lopez School District,1
Lyle School District,1
Lynden School District,8
Mabton School District,1
Manson School District,2
Mary Walker School District,5
Marysville School District,266
Mead School District,131
Medical Lake School District,7
Mercer Island School District,149
Meridian School District,23
Methow Valley School District,1
Monroe School District,113
Montesano School District,1
Moses Lake School District,36
Mossyrock School District,2
Mount Adams School District,1
Mount Baker School District,10
Mount Vernon School District,32
Mukilteo School District,1153
Naches Valley School District,2
Newport School District,1
Nine Mile Falls School District,5
Nooksack Valley School District,7
North Beach School District,2
North Franklin School District,4
North Kitsap School District,47
North Mason School District,2
North Thurston Public Schools,335
Northshore School District,1487
Oak Harbor School District,22
Ocean Beach School District,3
Ocosta School District,1
Olympia School District,145
Omak School District,6
Orcas Island School District,4
Orient School District,1
Orondo School District,1
Oroville School District,1
Orting School District,27
Othello School District,3
Palouse School District,2
Pasco School District,57
Pateros School District,2
Pe Ell School District,1
Peninsula School District,104
Pioneer School District,7
Pomeroy School District,1
Port Angeles School District,14
Port Townsend School District,9
Prosser School District,1
Pullman School District,92
Puyallup School District,367
Quillayute Valley School District,3
Quincy School District,2
Rainier School District,7
Raymond School District,1
Reardan-Edwall School District,4
Renton School District,1429
Republic School District,2
Richland School District,236
Ridgefield School District,52
Riverside School District,2
Riverview School District,117
Rochester School District,7
Roosevelt School District,1
Rosalia School District,1
Royal School District,1
San Juan Island School District,4
Seattle Public Schools,7260
Sedro-Woolley School District,6
Selah School District,10
Sequim School District,19
Shaw Island School District,1
Shelton School District,11
Shoreline School District,656
Skamania School District,1
Skykomish School District,2
Snohomish School District,216
Snoqualmie Valley School District,270
Soap Lake School District,1
South Bend School District,1
South Kitsap School District,41
South Whidbey School District,6
Spokane Public Schools,561
Sprague School District,1
St. Martin Parish School District,1
Stanwood-Camano School District,42
Steilacoom Historical School District,40
Stevenson-Carson School District,3
Sultan School District,25
Sumner School District,84
Sunnyside School District,13
Tacoma Public Schools,624
Tahoma School District,180
Tenino School District,7
Thorp School District,4
Tonasket School District,1
Toppenish School District,5
Tukwila School District,911
Tumwater School District,66
Union Gap School District,2
University Place School District,223
Vancouver Public Schools,395
Vashon Island School District,16
Wahkiakum School District,1
Walla Walla Public Schools,26
Wapato School District,5
Washougal School District,31
Wenatchee School District,36
West Valley School District (Spokane),39
West Valley School District (Yakima),97
White River School District,17
White Salmon Valley School District,2
Winlock School District,2
Woodland School District,7
Yakima School District,55
Yelm Community Schools,21
Zillah School District,1
