City,total_population,voters,non_voters,voter_rate
ABERDEEN,11,2,9,0.18181818181818182
AIRWAY HEIGHTS,15,7,8,0.4666666666666667
ALGONA,10,5,5,0.5
ALLYN,2,1,1,0.5
ANACORTES,23,11,12,0.4782608695652174
ANDERSON ISLAND,4,3,1,0.75
ARLINGTON,52,28,24,0.5384615384615384
AUBURN,999,390,609,0.39039039039039036
BAINBRIDGE ISLAND,33,27,6,0.8181818181818182
BARING,2,1,1,0.5
BATTLE GROUND,22,15,7,0.6818181818181818
BAY CENTER,1,0,1,0.0
BEAUX ARTS,3,3,0,1.0
BEAVER,1,0,1,0.0
BELFAIR,1,1,0,1.0
BELLEVUE,1827,1073,754,0.5873015873015873
BELLINGHAM,292,176,116,0.6027397260273972
BENTON CITY,3,2,1,0.6666666666666666
BLACK DIAMOND,26,12,14,0.46153846153846156
BLAINE,59,29,30,0.4915254237288136
BONNEY LAKE,78,40,38,0.5128205128205128
BOTHELL,1263,784,479,0.620744259699129
BOW,3,2,1,0.6666666666666666
BREMERTON,71,26,45,0.36619718309859156
BREWSTER,1,0,1,0.0
BRIER,44,25,19,0.5681818181818182
BRUSH PRAIRIE,11,5,6,0.45454545454545453
BUCKLEY,6,5,1,0.8333333333333334
BURBANK,2,1,1,0.5
BURIEN,530,196,334,0.36981132075471695
BURLINGTON,7,4,3,0.5714285714285714
CAMANO ISLAND,18,13,5,0.7222222222222222
CAMAS,171,103,68,0.6023391812865497
CARNATION,32,17,15,0.53125
CASHMERE,5,1,4,0.2
CASTLE ROCK,5,2,3,0.4
CATHLAMET,1,1,0,1.0
CENTRALIA,11,5,6,0.45454545454545453
CHATTAROY,4,2,2,0.5
CHEHALIS,11,6,5,0.5454545454545454
CHELAN,6,4,2,0.6666666666666666
CHENEY,27,9,18,0.3333333333333333
CLE ELUM,6,5,1,0.8333333333333334
CLINTON,1,1,0,1.0
CLYDE HILL,43,31,12,0.7209302325581395
COLBERT,9,1,8,0.1111111111111111
COLFAX,1,1,0,1.0
COLLEGE PLACE,9,3,6,0.3333333333333333
COLVILLE,2,1,1,0.5
CONNELL,1,1,0,1.0
COSMOPOLIS,2,0,2,0.0
COULEE DAM,2,1,1,0.5
